# Media phrases for donghua / manhua. Format: hanzi|pinyin|meaning. Lines starting with == start a group (split into units of 10 at build).
# Entries that are HSK 1-2 words are skipped automatically (learned in the core track); prefix with ! to keep one with its genre gloss (大人 = my lord).
== Basic reactions
什么|shénme|what
为什么|wèishénme|why
怎么了|zěnme le|what's wrong?
怎么回事|zěnme huíshì|what's going on?
没事|méishì|it's fine / it's nothing
不可能|bù kěnéng|impossible
原来如此|yuánlái rúcǐ|so that's how it is
明白了|míngbai le|understood
太好了|tài hǎo le|great!
不好|bù hǎo|uh-oh / not good
糟了|zāo le|oh no
真的吗|zhēn de ma|really?
当然|dāngrán|of course
好久不见|hǎojiǔ bùjiàn|long time no see
你是谁|nǐ shì shéi|who are you?
== Everyday reactions
不行|bùxíng|no way / not allowed
不要|búyào|don't! / no!
算了|suàn le|forget it
好吧|hǎo ba|fine, alright
不对|búduì|wrong / that's not right
没问题|méi wèntí|no problem
什么意思|shénme yìsi|what does that mean?
你说什么|nǐ shuō shénme|what did you say?!
真的假的|zhēn de jiǎ de|for real?
不错|búcuò|not bad
厉害|lìhai|awesome / formidable
加油|jiāyóu|go! / you can do it
可惜|kěxī|what a pity
完了|wán le|we're done for
来了|lái le|here it comes / they're here
有意思|yǒu yìsi|interesting… (villain line)
看来|kànlái|looks like…
走着瞧|zǒu zhe qiáo|we'll see about that
天哪|tiān na|oh heavens
等一下|děng yíxià|hold on a sec
== Interjections & particles
啊|a|ah! / huh?
哦|ò|oh, I see
嗯|èn|mm / yeah
喂|wèi|hey! / hello (phone)
哼|hng|hmph!
呀|ya|(softened 啊)
呢|ne|(and you? / what about…)
啦|la|(了+啊, excited)
哎|āi|hey / sigh
== Sect address & honorifics
师父|shīfu|master (teacher)
师尊|shīzūn|revered master
师兄|shīxiōng|senior brother (disciple)
师姐|shījiě|senior sister (disciple)
弟子|dìzǐ|disciple
前辈|qiánbèi|senior (respectful)
晚辈|wǎnbèi|junior (humble self)
长老|zhǎnglǎo|elder
掌门|zhǎngmén|sect leader
宗主|zōngzhǔ|sect master
师弟|shīdì|junior brother
师妹|shīmèi|junior sister
大师兄|dà shīxiōng|eldest senior disciple
师叔|shīshū|martial uncle
少主|shàozhǔ|young master (heir)
徒儿|tú'ér|my disciple (master to student)
为师|wéishī|I, your master
家主|jiāzhǔ|clan head
老祖|lǎozǔ|patriarch / ancestor
道友|dàoyǒu|fellow Daoist
== Cultivation basics
修炼|xiūliàn|to cultivate
修仙|xiūxiān|immortal cultivation
灵气|língqì|spiritual qi
修为|xiūwéi|cultivation level
灵力|línglì|spiritual power
实力|shílì|strength / power level
力量|lìliàng|power
真气|zhēnqì|true qi
强者|qiángzhě|a powerful one
高手|gāoshǒu|expert fighter
丹田|dāntián|dantian (energy center)
经脉|jīngmài|meridians
灵根|línggēn|spirit root
境界|jìngjiè|realm / stage
突破|tūpò|breakthrough
神识|shénshí|divine sense
内力|nèilì|inner strength
